ID,Title,Content,SKU,Product Type,parent_id,keywords
9033,R-Tek å¨ stretch fleece beanie,,,simple,0,
9035,100% cotton beanie,,,simple,0,
9037,Knit beanie,,,simple,0,
9039,Extra long fleece scarf,,,simple,0,
9041,Heathered space dyed beanie,,,simple,0,
9043,Slouch beanie,,,simple,0,
9045,Camo knit watchcap with cuff,,,simple,0,
9047,Sport-Tek å¨ performance knit cap,,,simple,0,
9049,Knit ear flap beanie,,,simple,0,
9051,Basic Grocery Tote,,,simple,0,
9053,Economy Grocery Tote,,,simple,0,
9055,Large Grocery Tote,,,simple,0,
9057,Black Top Poly Tote,,,simple,0,
9059,Solid Standup Tote,,,simple,0,
9061,Black Strap Poly Tote,,,simple,0,
9063,Economy Cotton Grocery Tote,,,simple,0,
9065,Small Cotton Canvas Tote,,,simple,0,
9067,Small White Cotton Canvas Tote,,,simple,0,
9069,2-Tone Zippered Tote,,,simple,0,
9071,Standard Flat Cotton Tote,,,simple,0,
9073,Fold-N-Go T-Shirt Handle Bag,,,simple,0,
9075,Fold-N-Go Wave Handle Bag,,,simple,0,
9077,Glamorous Metallic Laminated Shopping Tote,,,simple,0,
9079,Jute Tote with Handles,,,simple,0,
9081,Medium 2-Tone Carry All Tote,,,simple,0,
9083,Maxine Laminated Quilted Shopper,,,simple,0,
9085,Medium Weight Cotton Canvas Tote,,,simple,0,
9087,Black Fashion Tote with Color Swirl,,,simple,0,
9089,2-Tone Tote With Mesh Pocket,,,simple,0,
9091,Medium Weight Cotton Canvas Shopping Tote,,,simple,0,
9094,Medium Weight Cotton Canvas Shopping Tote-White,,,simple,0,
9096,Jute Tote with Cotton Web Handles,,,simple,0,
9098,Beachy Jute Tote with Round Cane Handles,,,simple,0,
9100,Poly Drawstring Tote,,,simple,0,
9102,Deluxe Gardening Tote Bag,,,simple,0,
9104,Tall Zippered Travel Tote,,,simple,0,
9106,Canvas Zippered Tote,,,simple,0,
9108,Zippered Tote with Accented Stitching,,,simple,0,
9110,2-Bottle Canvas Wine Carrier,,,simple,0,
9112,2-Tone Water Resistant Denim Tote,,,simple,0,
9114,Medium Heavy Canvas Boat Tote,,,simple,0,
9116,Quilted Satin Purse Style Tote,,,simple,0,
9118,Large Heavy Canvas Boat Tote,,,simple,0,
9120,Village Zipper Tote,,,simple,0,
9122,XL Heavy Canvas Boat Tote,,,simple,0,
9124,Large Weekender Shoulder Bag,,,simple,0,
